Raport2: CUMPARATE DE MAI MULTE ORI MAI MARI DECAT 0

1 """Blanketed"" Eggplant ":
91 3-Ingredient Cinnamon-Sugar Twists :
Rating: 0.0
Pret: 86.0

92 3-Ingredient Creamy Pumpkin Pasta :
Rating: 4.375
Pret: 31.0

93 3-Ingredient Curried Chicken Thighs :
Rating: 3.75
Pret: 90.0

94 3-Ingredient Gingersnap Icebox Cake :
Rating: 0.0
Pret: 31.0

95 3-Ingredient Hazelnut Cookies :
Rating: 0.0
Pret: 88.0

96 3-Ingredient Ice Box Cake :
Rating: 3.75
Pret: 29.0

97 3-Ingredient Ice Cream French Toast :
Rating: 4.375
Pret: 85.0

98 3-Ingredient Lemony Green Beans With Frizzled Leeks :
Rating: 3.125
Pret: 18.0

99 3-Ingredient Mussels With White Wine and Pesto :
Rating: 3.75
Pret: 66.0

100 3-Ingredient Peanut Butter Cookies :
Rating: 5.0
Pret: 74.0

101 3-Ingredient Peppermint Rocky Road Candies :
Rating: 0.0
Pret: 86.0

102 3-Ingredient Pork Chops With Roasted Apples and Sage :
Rating: 1.25
Pret: 20.0

103 3-Ingredient Sausage Dinner With Lentils and Fennel :
Rating: 0.0
Pret: 84.0

104 3-Ingredient Seeded Crackers :
Rating: 3.75
Pret: 51.0

105 3-Ingredient Shakshuka :
Rating: 3.125
Pret: 75.0

106 3-Ingredient Steak With Crispy Parmesan Potatoes :
Rating: 4.375
Pret: 90.0

107 3-Ingredient Sweet Potato Casserole With Maple Pecans :
Rating: 4.375
Pret: 59.0

108 3-Ingredient Thanksgiving Turkey With Orange and Sage :
Rating: 4.375
Pret: 15.0

109 3-Ingredient Tomato Soup :
Rating: 3.75
Pret: 86.0

110 30-Minute Rice Pudding with Dried Fruit :
Rating: 3.75
Pret: 44.0

111 A Fruitcake to Love :
Rating: 4.375
Pret: 51.0

112 A Hollywood Ham :
Rating: 3.75
Pret: 35.0

113 A Simple Roast Turkey :
Rating: 5.0
Pret: 78.0

114 Absinthe's Golden Yogurt Cake :
Rating: 3.75
Pret: 11.0

115 Accidental Chicken :
Rating: 4.375
Pret: 39.0

116 Achiote Chicken with Tangerine Sauce :
Rating: 4.375
Pret: 10.0

117 Acini di Pepe Pasta with Garlic and Olives :
Rating: 4.375
Pret: 13.0

118 Acme Hot Fudge Sundaes :
Rating: 5.0
Pret: 33.0

119 Acorn Squash Velouté with Ginger and Mustard Seeds :
Rating: 5.0
Pret: 18.0

120 Acorn Squash with Wild Mushroom Cranberry Stuffing :
Rating: 3.75
Pret: 57.0

121 Affinity :
Rating: 0.0
Pret: 26.0

122 African Adobo-Rubbed Tuna Steaks :
Rating: 4.375
Pret: 59.0

123 Agave-Glazed Turkey Breast with Sherry Gravy :
Rating: 3.75
Pret: 81.0

124 Age of Lincoln Almond-Streusel Bundt Cake with Coffee Glaze :
Rating: 4.375
Pret: 95.0

125 Aged Rib Eye with Onion Purée :
Rating: 4.375
Pret: 42.0

126 Aged Sherry-Walnut Vinaigrette :
Rating: 4.375
Pret: 77.0

127 Agnolotti with Meat and Spinach Filling :
Rating: 4.375
Pret: 98.0

128 Agnolotti with Sweet Peas and Goat Cheese :
Rating: 3.75
Pret: 78.0

129 Aguachile de Camarón (Shrimp Cooked in Lime and Chile) :
Rating: 4.375
Pret: 21.0

130 Ahi Tuna Carpaccio with Basil Pesto Fettuccine and Heirloom Tomatoes :
Rating: 4.375
Pret: 18.0

131 Aji Amarillo-Pineapple Salsa :
Rating: 4.375
Pret: 40.0

132 Aji Sauce :
Rating: 4.375
Pret: 64.0

133 Alambre de Camarones :
Rating: 4.375
Pret: 56.0

134 Alaska :
Rating: 0.0
Pret: 100.0

135 Albondigas Soup :
Rating: 1.875
Pret: 34.0

136 Ale-Battered Shrimp with Tartar Sauce :
Rating: 4.375
Pret: 79.0

137 Alexander :
Rating: 0.0
Pret: 21.0

138 Alexander Young :
Rating: 0.0
Pret: 67.0

139 Aligot Gratin :
Rating: 3.125
Pret: 57.0

140 All-American Peppermint Stick Torte with Fudge Topping :
Rating: 4.375
Pret: 19.0

141 All-American Potato Salad :
Rating: 3.75
Pret: 21.0

142 All-Butter Pastry Dough :
Rating: 4.375
Pret: 20.0

143 All-Butter Pie Dough :
Rating: 5.0
Pret: 12.0

144 All-Day Breakfast Sandwich :
Rating: 4.375
Pret: 61.0

145 All-Day Slow-Cooker Cassoulet :
Rating: 3.75
Pret: 75.0

146 All-Purpose Pie Dough :
Rating: 0.0
Pret: 89.0

147 All-Year Blueberry Corn Muffins :
Rating: 3.125
Pret: 38.0

148 All–Butter Pie Dough :
Rating: 0.0
Pret: 47.0

149 Almond Aioli :
Rating: 0.0
Pret: 84.0

150 Almond Apricot Biscotti :
Rating: 3.75
Pret: 36.0

151 Almond Bread Pudding with Salted Caramel Sauce :
Rating: 4.375
Pret: 64.0

152 Almond Brown Butter :
Rating: 0.0
Pret: 34.0

153 Almond Cake with Berries :
Rating: 3.75
Pret: 40.0

154 Almond Cake with Kirsch Cream and Lingonberry Preserves :
Rating: 3.125
Pret: 21.0

155 Almond Cake with Roasted Pineapple and Vanilla Cream :
Rating: 3.75
Pret: 60.0

156 Almond Cakes :
Rating: 4.375
Pret: 48.0

157 Almond Cakes with Chocolate Passion-Fruit Sauce :
Rating: 4.375
Pret: 46.0

158 Almond Cheesecake with Sour Cream and Blackberries :
Rating: 5.0
Pret: 70.0

159 Almond Coconut Granola :
Rating: 4.375
Pret: 37.0

160 Almond Cookie Cups :
Rating: 3.125
Pret: 12.0

161 Almond Cookie Cups with Sauternes-Poached Apples and Frozen Sauternes Mousse :
Rating: 3.75
Pret: 91.0

162 Almond Cookies :
Rating: 3.75
Pret: 99.0

163 Almond Cornmeal Cake with Peach and Berry Compote :
Rating: 4.375
Pret: 90.0

164 Almond Cream Cheese Frosting :
Rating: 4.375
Pret: 14.0

165 Almond Crust :
Rating: 4.375
Pret: 75.0

166 Almond Dacquoise with Strawberry Ice Cream :
Rating: 4.375
Pret: 11.0

167 Almond French Toast :
Rating: 4.375
Pret: 100.0

168 Almond Horchata :
Rating: 4.375
Pret: 63.0

169 Almond Ice Cream Terrine with Chocolate Truffles and Raspberry Sauce :
Rating: 5.0
Pret: 34.0

170 Almond Joy Cheesecake :
Rating: 5.0
Pret: 72.0

171 Almond Meringue Torte with Lemon and Strawberry Filling :
Rating: 3.125
Pret: 58.0

172 Almond Pear Clafouti :
Rating: 4.375
Pret: 53.0

173 Almond Praline Semifreddo with Grappa-Poached Apricots :
Rating: 4.375
Pret: 12.0

174 Almond Sablé Dough :
Rating: 0.0
Pret: 52.0

175 Almond Tart with Stone Fruit and Lime Meringue :
Rating: 4.375
Pret: 77.0

176 Almond Tuiles :
Rating: 3.75
Pret: 25.0

177 Almond and Chocolate Dacquoise with Cranberry Sauce :
Rating: 5.0
Pret: 41.0

178 Almond and Jam Tart :
Rating: 0.0
Pret: 11.0

179 Almond and Mixed-Berry Shortcakes :
Rating: 2.5
Pret: 98.0

180 Almond-Apricot Food Processor Cake :
Rating: 4.375
Pret: 32.0

181 Almond-Barley Porridge with Fruit :
Rating: 0.0
Pret: 15.0

182 Almond-Crusted Goat Cheese Salad with Raspberry Dressing :
Rating: 4.375
Pret: 14.0

183 Almond-Crusted Salmon with Leek and Lemon Cream :
Rating: 0.0
Pret: 53.0

184 Almond-Crusted Shrimp Cakes with Lemon Soy Mayonnaise :
Rating: 4.375
Pret: 49.0

185 Almond-Lemon Torte with Fresh Strawberries :
Rating: 5.0
Pret: 44.0

186 Almond-Plum Buckle :
Rating: 5.0
Pret: 87.0

187 Almond-Raisin Granola :
Rating: 5.0
Pret: 76.0

188 Aloo Gobhi Stuffing :
Rating: 4.375
Pret: 80.0

189 Alsatian Cheese Tart :
Rating: 4.375
Pret: 31.0

190 Alsatian Onion and Bacon Tartlets :
Rating: 3.75
Pret: 66.0

191 Alsatian-Style Apple Pie :
Rating: 3.75
Pret: 64.0

192 Alternative Oatmeal-Raisin Cookies :
Rating: 4.375
Pret: 51.0

193 Amaranth and Feta Phyllo Triangles :
Rating: 3.75
Pret: 43.0

194 Amaretti Tiramisu :
Rating: 3.125
Pret: 53.0

195 Amaretto Chocolate Pudding :
Rating: 3.75
Pret: 13.0

196 Amaretto Coffee :
Rating: 4.375
Pret: 16.0

197 Amaretto Ice Cream :
Rating: 3.75
Pret: 11.0

198 Amaretto Mimosa :
Rating: 5.0
Pret: 35.0

199 Amaretto Olive Oil Cake :
Rating: 3.75
Pret: 56.0

200 Ambila Chicken :
Rating: 4.375
Pret: 16.0

201 American Beauty :
Rating: 0.0
Pret: 95.0

202 American Caviar with Crispy Yukon Gold Potato Pancakes :
Rating: 4.375
Pret: 21.0

203 Anadama Rolls :
Rating: 4.375
Pret: 27.0

204 Anasazi Butternut Squash Soup with Chorizo and Pepitas :
Rating: 4.375
Pret: 71.0

205 Ancho Chile Sauce :
Rating: 5.0
Pret: 22.0

206 Ancho Chile–Rubbed Grilled Corn :
Rating: 0.0
Pret: 74.0

207 Ancho Chili Sauce :
Rating: 4.375
Pret: 77.0

208 Ancho Mole :
Rating: 3.75
Pret: 61.0

209 Ancho Pasilla Sauce :
Rating: 3.125
Pret: 91.0

210 Ancho Sweet-Potato Purée :
Rating: 3.75
Pret: 18.0

211 Ancho and Cocoa Carne Asada :
Rating: 4.375
Pret: 69.0

212 Ancho-Guajillo Chile Sauce :
Rating: 4.375
Pret: 35.0

213 Anchoiade :
Rating: 3.75
Pret: 61.0

214 Anchovies in Tomato Sauce with Pasta :
Rating: 4.375
Pret: 28.0

215 Anchovy Lemon Dip with Green Beans :
Rating: 4.375
Pret: 18.0

216 Anchovy Mayonnaise :
Rating: 3.125
Pret: 36.0

217 Anchovy Pasta With Garlic Breadcrumbs :
Rating: 3.75
Pret: 84.0

218 Anchovy Toasts :
Rating: 3.75
Pret: 44.0

219 Andouille-Stuffed Pork Loin with Creole Mustard :
Rating: 3.75
Pret: 11.0

220 Angel Hair Pasta with Broccoli and Herb Butter :
Rating: 4.375
Pret: 45.0

221 Angel Hair Pasta with Tuna and Tomato Sauce :
Rating: 3.75
Pret: 67.0

222 Angel Punch :
Rating: 4.375
Pret: 34.0

223 Angel's Hair Pasta with Lemon and Pine Nuts :
Rating: 3.75
Pret: 56.0

224 Angel's Wing :
Rating: 0.0
Pret: 31.0

225 Angel-Hair Pasta with Fresh Tomato Sauce :
Rating: 4.375
Pret: 25.0

226 Angel-Hair Pasta with Sauteed Squid :
Rating: 4.375
Pret: 16.0

227 Anise Biscotti :
Rating: 3.75
Pret: 65.0

228 Anise Cookie Baskets with Riesling Ice Cream and Fresh Fruit :
Rating: 3.125
Pret: 47.0

229 Anise Seed Flatbreads :
Rating: 4.375
Pret: 56.0

230 Anise-Scented Fig and Date Swirls :
Rating: 4.375
Pret: 87.0

231 Anissa's Garlic Sauce :
Rating: 0.0
Pret: 72.0

232 Ann Pachett's Spicy Seafood Chowder :
Rating: 4.375
Pret: 72.0

233 Anne Whiteman's Birthday Kugel :
Rating: 4.375
Pret: 45.0

234 Antipasto Pasta Salad :
Rating: 4.375
Pret: 34.0

235 Antipasto Salad :
Rating: 4.375
Pret: 70.0

236 Antipasto Salad with Basil Dressing :
Rating: 4.375
Pret: 48.0

237 Antipasto-Stuffed Baguettes :
Rating: 4.375
Pret: 32.0

238 Antoinette's Gulyas :
Rating: 1.25
Pret: 73.0

239 Anything Goes Donabe :
Rating: 5.0
Pret: 35.0

240 Apple Bread Pudding :
Rating: 3.75
Pret: 38.0

241 Apple Cake with Maple-Walnut Cream Cheese Frosting :
Rating: 3.75
Pret: 63.0

242 Apple Cheddar Bread Pudding :
Rating: 3.75
Pret: 70.0

243 Apple Cheese Quick Bread :
Rating: 3.75
Pret: 85.0

244 Apple Cheese Wraps :
Rating: 0.0
Pret: 81.0

245 Apple Chips :
Rating: 3.125
Pret: 10.0

246 Apple Chutney :
Rating: 4.375
Pret: 85.0

247 Apple Cider Beignets with Butter-Rum Caramel Sauce :
Rating: 4.375
Pret: 11.0

248 Apple Cider Cupcakes with Cider Cream Cheese Icing :
Rating: 3.125
Pret: 24.0

249 Apple Cider Doughnuts with Cider-Caramel Glaze :
Rating: 0.0
Pret: 71.0

250 Apple Cider Indian Pudding :
Rating: 3.75
Pret: 38.0

251 Apple Cobblers :
Rating: 5.0
Pret: 12.0

252 Apple Crisp with Prune Tequila Ice Cream :
Rating: 4.375
Pret: 45.0

253 Apple Crisps with Dried Cherries and Ginger :
Rating: 4.375
Pret: 70.0

254 Apple Crostata with Cheddar Cheese :
Rating: 4.375
Pret: 72.0

255 Apple Crostata with Spiced Caramel Sauce :
Rating: 3.125
Pret: 30.0

256 Apple Crumb Tarts :
Rating: 4.375
Pret: 66.0

257 Apple Date-Nut Bars :
Rating: 4.375
Pret: 79.0

258 Apple Fritters :
Rating: 4.375
Pret: 67.0

259 Apple Fritters with Bourbon Ice Cream :
Rating: 5.0
Pret: 49.0

260 Apple Fritters with Orange Glaze :
Rating: 0.0
Pret: 59.0

261 Apple Galette with Orange :
Rating: 3.75
Pret: 79.0

262 Apple Ginger Chutney :
Rating: 5.0
Pret: 40.0

263 Apple Ginger Upside-Down Cake :
Rating: 3.125
Pret: 54.0

264 Apple Gingerbread Cake With Cream :
Rating: 4.375
Pret: 77.0

265 Apple Horseradish Aspic with Fennel :
Rating: 4.375
Pret: 64.0

266 Apple Noodle Kugel :
Rating: 3.75
Pret: 92.0

267 Apple Pancakes with Cinnamon Butter :
Rating: 4.375
Pret: 50.0

268 Apple Pandowdy :
Rating: 3.75
Pret: 37.0

269 Apple Pie :
Rating: 0.0
Pret: 92.0

270 Apple Pie with Cheddar Crust :
Rating: 3.75
Pret: 69.0

271 Apple Pie with Hazelnuts and Dried Sour Cherries :
Rating: 3.75
Pret: 24.0

272 Apple Pie with Oat Streusel :
Rating: 4.375
Pret: 94.0

273 Apple Pie with Walnut Streusel :
Rating: 5.0
Pret: 50.0

274 Apple Pie with Whisky-Soaked Cherries :
Rating: 4.375
Pret: 87.0

275 Apple Raisin Bread Pudding :
Rating: 4.375
Pret: 50.0

276 Apple Slaw :
Rating: 0.0
Pret: 18.0

277 Apple Sorbet :
Rating: 3.125
Pret: 73.0

278 Apple Spice Cake with Walnuts and Currants :
Rating: 4.375
Pret: 47.0

279 Apple Streusel Tart with Honey Crust :
Rating: 3.75
Pret: 93.0

280 Apple Strudel with Cranberry Sauce :
Rating: 4.375
Pret: 45.0

281 Apple Tarts with Vanilla Ice Cream :
Rating: 4.375
Pret: 69.0

282 Apple Torte with Breadcrumb-Hazelnut :
Rating: 5.0
Pret: 60.0

283 Apple Turnovers :
Rating: 3.75
Pret: 72.0

284 Apple Upside-Down Biscuit Cake :
Rating: 4.375
Pret: 11.0

285 Apple Upside-Down Cornmeal Cakes :
Rating: 3.125
Pret: 37.0

286 Apple Walnut Crisp :
Rating: 4.375
Pret: 45.0

287 Apple Walnut Pancakes with Cinnamon Cream and Fudge Sauce '21' Club :
Rating: 4.375
Pret: 80.0

288 Apple Walnut Upside-Down Cake with Calvados Caramel Sauce :
Rating: 3.75
Pret: 39.0

289 Apple and Blackberry Meringue Souffles :
Rating: 1.875
Pret: 53.0

290 Apple and Blackberry Pie :
Rating: 3.75
Pret: 81.0

291 Apple and Blackberry Polenta Cobbler :
Rating: 4.375
Pret: 97.0

292 Apple and Blackberry Sorbet :
Rating: 5.0
Pret: 29.0

293 Apple and Calvados Tart :
Rating: 4.375
Pret: 53.0

294 Apple and Celery Salad :
Rating: 3.75
Pret: 77.0

295 Apple and Celery Salad with Peanuts :
Rating: 3.75
Pret: 64.0

296 Apple and Cranberry Crisps with Ginger-Pecan Topping :
Rating: 4.375
Pret: 27.0

297 Apple and Dried Cherry Custard Bread Pudding :
Rating: 4.375
Pret: 98.0

298 Apple and Dried Cranberry Pie :
Rating: 3.75
Pret: 71.0

299 Apple and Dried-Cherry Lattice Pie :
Rating: 5.0
Pret: 36.0

300 Apple and Fig Custard :
Rating: 5.0
Pret: 30.0

301 Apple and Parsnip Soup with Coriander :
Rating: 3.75
Pret: 15.0

302 Apple and Persimmon Tarte Tatin :
Rating: 4.375
Pret: 38.0

303 Apple and Pomegranate Tart Tartin :
Rating: 3.75
Pret: 69.0

304 Apple and Poppy Seed Slaw :
Rating: 3.75
Pret: 50.0

305 Apple and Pork Stuffing :
Rating: 4.375
Pret: 86.0

306 Apple and Prune Tart :
Rating: 3.75
Pret: 23.0

307 Apple and Prune Tart with Vanilla Ice Cream and Cognac :
Rating: 4.375
Pret: 30.0

308 Apple and Quince Crisp with Rum Raisins :
Rating: 3.75
Pret: 71.0

309 Apple and Raisin Slaw :
Rating: 3.125
Pret: 72.0

310 Apple and Rosemary Tarte :
Rating: 3.75
Pret: 10.0

311 Apple and Sausage Stuffing :
Rating: 4.375
Pret: 43.0

312 Apple and Smoked-Bacon Salad with Lychees and Chili Nuts :
Rating: 3.75
Pret: 18.0

313 Apple and Tart Cherry Pie :
Rating: 5.0
Pret: 98.0

314 Apple and Walnut Whole-Wheat Bread Pudding :
Rating: 4.375
Pret: 15.0

315 Apple-Almond Cheesecake :
Rating: 3.75
Pret: 10.0

316 Apple-Cherry Tartlets :
Rating: 5.0
Pret: 24.0

317 Apple-Clove Butter :
Rating: 3.75
Pret: 26.0

318 Apple-Cranberry Crisp :
Rating: 3.75
Pret: 18.0

319 Apple-Cranberry Crisp With Oatmeal-Cookie Crumble :
Rating: 5.0
Pret: 10.0

320 Apple-Cranberry Crumb Pie :
Rating: 4.375
Pret: 13.0

321 Apple-Cranberry Shortcakes with Cinnamon Cream :
Rating: 4.375
Pret: 10.0

322 Apple-Cream Cheese Torte :
Rating: 4.375
Pret: 41.0

323 Apple-Fig Crisp :
Rating: 4.375
Pret: 89.0

324 Apple-Matzoh Kugel :
Rating: 4.375
Pret: 98.0

325 Apple-Onion Roast Turkey with Pan Gravy :
Rating: 4.375
Pret: 18.0

326 Apple-Pear Cobbler with Cheddar Crust :
Rating: 2.5
Pret: 67.0

327 Apple-Plum Chutney :
Rating: 3.125
Pret: 31.0

328 Apple-Prune Crisp with Hazelnut Topping :
Rating: 4.375
Pret: 18.0

329 Apple-Raisin Bread Pudding :
Rating: 4.375
Pret: 33.0

330 Apple-Raisin Chutney :
Rating: 4.375
Pret: 29.0

331 Apple-Raisin Crumble with Orange Ice Cream :
Rating: 4.375
Pret: 30.0

332 Apple-Raspberry Cake :
Rating: 4.375
Pret: 74.0

333 Apple-Rhubarb Crisp :
Rating: 4.375
Pret: 100.0

334 Apple-Sausage Stuffing :
Rating: 5.0
Pret: 38.0

335 Apple-Walnut Cake :
Rating: 4.375
Pret: 95.0

336 Applejack Rabbit :
Rating: 0.0
Pret: 28.0

337 Applejack Spritzer :
Rating: 0.0
Pret: 82.0

338 Applejack Toddy :
Rating: 0.0
Pret: 61.0

339 Applesauce Cake with Penuche Frosting :
Rating: 2.5
Pret: 39.0

340 Applesauce Spice Muffins :
Rating: 4.375
Pret: 77.0

341 Applesauce with Butter Pecan Crumbs :
Rating: 4.375
Pret: 34.0

342 Apricot Almond Linzertorte :
Rating: 4.375
Pret: 53.0

